"table","section_id","item","instrument","instructions","section_prompt","item_text","item_text_translated","option_text","resp"
"namprb_siwiak_2024_bsr10","main","BSR_29","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jako istoty światła jesteśmy lokalną i nie-lokalną, związaną z czasem i ponadczasową aktualnością i możliwością.","As beings of light we are local and non-local, time bound and timeless actuality and possibility.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_29","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jako istoty światła jesteśmy lokalną i nie-lokalną, związaną z czasem i ponadczasową aktualnością i możliwością.","As beings of light we are local and non-local, time bound and timeless actuality and possibility.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_29","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Jako istoty światła jesteśmy lokalną i nie-lokalną, związaną z czasem i ponadczasową aktualnością i możliwością.","As beings of light we are local and non-local, time bound and timeless actuality and possibility.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_3","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Integralność ucisza nieskończone zjawiska.","Wholeness quiets infinite phenomena.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_3","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Integralność ucisza nieskończone zjawiska.","Wholeness quiets infinite phenomena.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_3","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Integralność ucisza nieskończone zjawiska.","Wholeness quiets infinite phenomena.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_3","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Integralność ucisza nieskończone zjawiska.","Wholeness quiets infinite phenomena.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_3","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Integralność ucisza nieskończone zjawiska.","Wholeness quiets infinite phenomena.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_30","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Materia to doświadczenie w świadomości głębszej, niematerialnej rzeczywistości.","Matter is the experience in consciousness of a deeper non-material reality",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_30","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Materia to doświadczenie w świadomości głębszej, niematerialnej rzeczywistości.","Matter is the experience in consciousness of a deeper non-material reality",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_30","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Materia to doświadczenie w świadomości głębszej, niematerialnej rzeczywistości.","Matter is the experience in consciousness of a deeper non-material reality",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_30","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Materia to doświadczenie w świadomości głębszej, niematerialnej rzeczywistości.","Matter is the experience in consciousness of a deeper non-material reality","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_30","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Materia to doświadczenie w świadomości głębszej, niematerialnej rzeczywistości.","Matter is the experience in consciousness of a deeper non-material reality","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_4","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość wyjaśnia nieracjonalne fakty.","The future explains irrational facts.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_4","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość wyjaśnia nieracjonalne fakty.","The future explains irrational facts.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_4","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość wyjaśnia nieracjonalne fakty.","The future explains irrational facts.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_4","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość wyjaśnia nieracjonalne fakty.","The future explains irrational facts.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_4","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Przyszłość wyjaśnia nieracjonalne fakty.","The future explains irrational facts.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_5","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Wyobraźnia jest zawarta w gwałtownie postępujących zdarzeniach czasoprzestrzennych.","Imagination is inside exponential space time events.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_5","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Wyobraźnia jest zawarta w gwałtownie postępujących zdarzeniach czasoprzestrzennych.","Imagination is inside exponential space time events.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_5","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Wyobraźnia jest zawarta w gwałtownie postępujących zdarzeniach czasoprzestrzennych.","Imagination is inside exponential space time events.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_5","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Wyobraźnia jest zawarta w gwałtownie postępujących zdarzeniach czasoprzestrzennych.","Imagination is inside exponential space time events.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_5","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Wyobraźnia jest zawarta w gwałtownie postępujących zdarzeniach czasoprzestrzennych.","Imagination is inside exponential space time events.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_6","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twoja świadomość rodzi mieszankę sieci neuronowych.","Your consciousness gives rise to a jumble of neural networks.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_6","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twoja świadomość rodzi mieszankę sieci neuronowych.","Your consciousness gives rise to a jumble of neural networks.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_6","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twoja świadomość rodzi mieszankę sieci neuronowych.","Your consciousness gives rise to a jumble of neural networks.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_6","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twoja świadomość rodzi mieszankę sieci neuronowych.","Your consciousness gives rise to a jumble of neural networks.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_6","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twoja świadomość rodzi mieszankę sieci neuronowych.","Your consciousness gives rise to a jumble of neural networks.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_7","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twój ruch przekształca uniwersalne obserwacje.","Your movement transforms universal observations.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_7","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twój ruch przekształca uniwersalne obserwacje.","Your movement transforms universal observations.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_7","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twój ruch przekształca uniwersalne obserwacje.","Your movement transforms universal observations.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_7","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twój ruch przekształca uniwersalne obserwacje.","Your movement transforms universal observations.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_7","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Twój ruch przekształca uniwersalne obserwacje.","Your movement transforms universal observations.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_8","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Postrzegana rzeczywistość wykracza poza subtelną prawdę.","Perceptual reality transcends subtle truth.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_8","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Postrzegana rzeczywistość wykracza poza subtelną prawdę.","Perceptual reality transcends subtle truth.",NA,4
"namprb_siwiak_2024_bsr10","main","BSR_8","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Postrzegana rzeczywistość wykracza poza subtelną prawdę.","Perceptual reality transcends subtle truth.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_8","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Postrzegana rzeczywistość wykracza poza subtelną prawdę.","Perceptual reality transcends subtle truth.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_8","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Postrzegana rzeczywistość wykracza poza subtelną prawdę.","Perceptual reality transcends subtle truth.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_9","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewidzialne jest poza nową ponadczasowością.","The invisible is beyond new timelessness.","very profound",5
"namprb_siwiak_2024_bsr10","main","BSR_9","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewidzialne jest poza nową ponadczasowością.","The invisible is beyond new timelessness.",NA,3
"namprb_siwiak_2024_bsr10","main","BSR_9","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewidzialne jest poza nową ponadczasowością.","The invisible is beyond new timelessness.",NA,2
"namprb_siwiak_2024_bsr10","main","BSR_9","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewidzialne jest poza nową ponadczasowością.","The invisible is beyond new timelessness.","not at all profound",1
"namprb_siwiak_2024_bsr10","main","BSR_9","Bullshit Receptivity Scale–shortened version (BSR_10)",NA,NA,"Niewidzialne jest poza nową ponadczasowością.","The invisible is beyond new timelessness.",NA,4
