"table","tier","verdict","item_text","option_text","instructions","section_prompt","scripts","tag_class","lang_tag","language","action"
"butt_2022_user_satisfaction","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"buzgova_2023_gai","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","cze","","confirm administered language; label fallback or close as English"
"buzgova_2023_lsita","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","cze","","confirm administered language; label fallback or close as English"
"buzgova_2023_rses","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","cze","","confirm administered language; label fallback or close as English"
"buzgova_2023_soc","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","cze","","confirm administered language; label fallback or close as English"
"ccapsvtskhpacr_mercedes_2023_hada","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","spa","","confirm administered language; label fallback or close as English"
"ccapsvtskhpacr_mercedes_2023_sf","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","spa","","confirm administered language; label fallback or close as English"
"ccapsvtskhpacr_mercedes_2023_tsk","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","spa","","confirm administered language; label fallback or close as English"
"chen_2022_sasc","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"coach_chen_2022_hdrs","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"coach_chen_2022_phq9","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","chi","","confirm administered language; label fallback or close as English"
"condon_2024_sapa_personality","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"depression_anxiety_stress","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","unknown","NA","","confirm administered language; label fallback or close as English"
"eammi_grahe_2018_marriage_timing","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"emidy2024_fevs","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","unknown","","","confirm administered language; label fallback or close as English"
"faces_spanish_vegas_2022_faces","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","spa","","confirm administered language; label fallback or close as English"
"faces_spanish_vegas_2022_fss","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","nonenglish","spa","","confirm administered language; label fallback or close as English"
"fedsp_trzcinska_2023_prd","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","pol","","confirm administered language; label fallback or close as English"
"fedsp_trzcinska_2023_pspcsa","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","pol","","confirm administered language; label fallback or close as English"
"fivpei_perrig_2023_pxi","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"geography","B","ENGLISH_CONFIRMED_BY_EYE","ADMIN","NEEDS_REVIEW","blank","blank","","mixed","ces,eng,spa","","confirm administered language; label fallback or close as English"
"gilbert_meta_1","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","bra","","confirm administered language; label fallback or close as English"
"gilbert_meta_105","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","hau, eng","","confirm administered language; label fallback or close as English"
"gilbert_meta_106","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","hau, eng","","confirm administered language; label fallback or close as English"
"gilbert_meta_107","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","hau, eng","","confirm administered language; label fallback or close as English"
"gilbert_meta_31","B","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","blank","","nonenglish","hin","","confirm administered language; label fallback or close as English"
"gilbert_meta_33","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","nonenglish","rus","","confirm administered language; label fallback or close as English"
"gilbert_meta_38","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_4","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_42","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","mixed","Ruáingga, eng","","confirm administered language; label fallback or close as English"
"gilbert_meta_44","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_50","B","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_51","B","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","NEEDS_REVIEW","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_52","B","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_53","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","hin","","confirm administered language; label fallback or close as English"
"gilbert_meta_54","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","hin, eng","","confirm administered language; label fallback or close as English"
"gilbert_meta_57","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","urd","","confirm administered language; label fallback or close as English"
"gilbert_meta_59","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","urd","","confirm administered language; label fallback or close as English"
"gilbert_meta_60","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","afg","","confirm administered language; label fallback or close as English"
"gilbert_meta_61","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","afg","","confirm administered language; label fallback or close as English"
"gilbert_meta_62","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","ken","","confirm administered language; label fallback or close as English"
"gilbert_meta_63","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","hin","","confirm administered language; label fallback or close as English"
"gilbert_meta_75","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_83","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","pol","","confirm administered language; label fallback or close as English"
"gilbert_meta_84","B","ENGLISH_CONFIRMED_BY_EYE","ADMIN","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","pol","","confirm administered language; label fallback or close as English"
"gilbert_meta_86","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","no access to the osf page","","confirm administered language; label fallback or close as English"
"gilbert_meta_87","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","","nonenglish","no access to the osf page","","confirm administered language; label fallback or close as English"
"gilbert_meta_88","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","hin","","confirm administered language; label fallback or close as English"
"gilbert_meta_90","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","hin","","confirm administered language; label fallback or close as English"
"gilbert_meta_91","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","hin","","confirm administered language; label fallback or close as English"
"gilbert_meta_92","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","hin","","confirm administered language; label fallback or close as English"
"gilbert_meta_94","B","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_96","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","tur","","confirm administered language; label fallback or close as English"
"gilbert_meta_97","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_98","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"gilbert_meta_99","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ken","","confirm administered language; label fallback or close as English"
"lhsbrasil_couto_2023_lhs","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","por","","confirm administered language; label fallback or close as English"
"lhsbrasil_couto_2023_pss","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","nonenglish","por","","confirm administered language; label fallback or close as English"
"lhsbrasil_couto_2023_ses","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","por","","confirm administered language; label fallback or close as English"
"machivallianism_test_main","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"mpsycho_asti","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"mpsycho_condom","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","confirm administered language; label fallback or close as English"
"mpsycho_wenchuan","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","zho","","confirm administered language; label fallback or close as English"
"namprb_siwiak_2024_desrpl","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","pol","","confirm administered language; label fallback or close as English"
"os_tbmwtfs_schubert_2023_acs","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"os_tbmwtfs_schubert_2023_bmw3","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"os_tbmwtfs_schubert_2023_cerq","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"os_tbmwtfs_schubert_2023_dmw","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"os_tbmwtfs_schubert_2023_ipip","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"os_tbmwtfs_schubert_2023_maas","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_adventurous","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_autonomous","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_benevolent","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_capable","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_conforming","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_hedonistic","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_main_big5_southkorea","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","kor","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_main_collectivism_mexico_chile","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","spa","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_main_masculinity_chile","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","spa","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_main_materialism_chile","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","spa","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_main_powerdistance_usa_chile","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_main_tight_usa_chile","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_main_uncertaintyavoidance_usa_chile","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_powerful","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_secure","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_traditional","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"pezzuti_2025_coolpeople_warm","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, spa, ger, chi, kor, tur","","confirm administered language; label fallback or close as English"
"phq_insomnia_wang2025","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","zho","","confirm administered language; label fallback or close as English"
"preschool_sel_pl","B","ENGLISH_CONFIRMED_BY_EYE","ADMIN","ADMIN","blank","blank","","mixed","eng, spa","","confirm administered language; label fallback or close as English"
"preussmattsson_2022_ownership","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","confirm administered language; label fallback or close as English"
"psychtools_athenstaedt","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","deu,eng","","confirm administered language; label fallback or close as English"
"psychtools_geras","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","deu","","confirm administered language; label fallback or close as English"
"shu_2025_translation_eib","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, chi","","confirm administered language; label fallback or close as English"
"shu_2025_translation_pcd","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, chi","","confirm administered language; label fallback or close as English"
"shu_2025_translation_pgv","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, chi","","confirm administered language; label fallback or close as English"
"shu_2025_translation_srt","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, chi","","confirm administered language; label fallback or close as English"
"soderberg_2024_academic_selfefficacy","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"soderberg_2024_esm_affect","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"soderberg_2024_esm_lecture","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"soderberg_2024_esm_morning","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"soderberg_2024_family_support","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"soderberg_2024_general_selfefficacy","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"soderberg_2024_peer_support","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"soderberg_2024_teacher_support","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"sv-maia2_randelovic_2021_dass","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","srp","","confirm administered language; label fallback or close as English"
"swmd_mokken","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","dut","","confirm administered language; label fallback or close as English"
"tenseness_pcmrs","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","ger, eng","","confirm administered language; label fallback or close as English"
"threat_isler_2024_exp1_cog_crt","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","","","confirm administered language; label fallback or close as English"
"vcism_polish_trzcinska_2023","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","pol","","confirm administered language; label fallback or close as English"
"wang_onlineriskexp_2025","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","chi","","confirm administered language; label fallback or close as English"
"wang_onlineriskexp_2025_anxiety","B","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","chi","","confirm administered language; label fallback or close as English"
"aguirre_camacho_2021_shai","C","NEEDS_REVIEW","blank","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"ahmed_2019_food_consumption","C","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","blank","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"alcoholresearch_sumscore","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","fre","","pure-ASCII, not provably English or not - inspect by hand"
"amarilla_2020_barthel","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"amarilla_2020_eq5d","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"amatus_cipora_2024_amas","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","pure-ASCII, not provably English or not - inspect by hand"
"amatus_cipora_2024_arithmetic","C","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","blank","","nonenglish","ger, fra","","pure-ASCII, not provably English or not - inspect by hand"
"amatus_cipora_2024_fsmas_se","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","ger, fra","","pure-ASCII, not provably English or not - inspect by hand"
"bartoli_2022_badge_notifications","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","pure-ASCII, not provably English or not - inspect by hand"
"bitew_2020_lte","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","amh","","pure-ASCII, not provably English or not - inspect by hand"
"buzgova_2023_gds","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","cze","","pure-ASCII, not provably English or not - inspect by hand"
"cacciatore_2021_crisis_care_satisfaction","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","","","pure-ASCII, not provably English or not - inspect by hand"
"ccapsvtskhpacr_mercedes_2023_physical","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","spa","","pure-ASCII, not provably English or not - inspect by hand"
"fcv19s_hossain_2022__fear","C","EMPTY","-","-","-","-","","unknown","","","phantom/empty - inspect"
"fedsp_trzcinska_2023_smsd","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","pol","","pure-ASCII, not provably English or not - inspect by hand"
"ftna_kasper_2022","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","swa, eng","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_108","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","eng, swa","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_12","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_24","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","spa","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_25","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","nonenglish","nep","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_40","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_49","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_74","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_85","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","nonenglish","pol","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_89","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","","nonenglish","hin","","pure-ASCII, not provably English or not - inspect by hand"
"gilbert_meta_93","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","","nonenglish","hin","","pure-ASCII, not provably English or not - inspect by hand"
"pezzuti_2025_coolpeople_single-items","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","","mixed","eng, spa, ger, chi, kor, tur","","pure-ASCII, not provably English or not - inspect by hand"
"rd_eppscqrk_kipkemoi_2024_scq","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","blank","","mixed","swa, eng","","pure-ASCII, not provably English or not - inspect by hand"
"vermeiren_2022_art","C","NEEDS_REVIEW","NEEDS_REVIEW","missing","blank","blank","","unknown","NA","","pure-ASCII, not provably English or not - inspect by hand"
"xie_2026_student_questionnaire","C","NEEDS_REVIEW","NEEDS_REVIEW","NEEDS_REVIEW","blank","NEEDS_REVIEW","","unknown","","","pure-ASCII, not provably English or not - inspect by hand"
