table,live_table,verdict,distinguisher,n_rows,excess_pair,excess_exact,excess_after_all_columns,n_conflicting_pairs,columns,evidence
PEPABAS2C_Kubicka_2024,PEPABAS2C_Kubicka_2024,mixed_dedupe_then_source,,4846,48,27,48,21,id|item|resp,No column explains any of the 48 excess rows. 27 are exact duplicates (dedupe); the remaining 21 carry conflicting responses for the same id+item and need the source to resolve.
PROMISPME_Forrest_2021_Family_Children,PROMISPME_Forrest_2021_Family_Children,dedupe,,208598,113,113,113,0,id|item|resp,All 113 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
PROMISPME_Forrest_2021_Family_Proxy,PROMISPME_Forrest_2021_Family_Proxy,dedupe,,208598,113,113,113,0,id|item|resp,All 113 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
PROMISPME_Forrest_2021_LS_Children,PROMISPME_Forrest_2021_LS_Children,dedupe,,111608,56,56,56,0,id|item|resp,All 56 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
PROMISPME_Forrest_2021_LS_Proxy,PROMISPME_Forrest_2021_LS_Proxy,mixed_dedupe_then_source,,54040,56,17,56,39,id|item|resp,No column explains any of the 56 excess rows. 17 are exact duplicates (dedupe); the remaining 39 carry conflicting responses for the same id+item and need the source to resolve.
PROMISPME_Forrest_2021_MP_Children,PROMISPME_Forrest_2021_MP_Children,dedupe,,104280,55,55,55,0,id|item|resp,All 55 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
PROMISPME_Forrest_2021_MP_Proxy,PROMISPME_Forrest_2021_MP_Proxy,mixed_dedupe_then_source,,51040,55,26,55,29,id|item|resp,No column explains any of the 55 excess rows. 26 are exact duplicates (dedupe); the remaining 29 carry conflicting responses for the same id+item and need the source to resolve.
PROMISPME_Forrest_2021_Physical_Children,PROMISPME_Forrest_2021_Physical_Children,dedupe,,238197,79,79,79,0,id|item|resp,All 79 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
PROMISPME_Forrest_2021_Physical_Proxy,PROMISPME_Forrest_2021_Physical_Proxy,mixed_dedupe_then_source,,121418,79,41,79,38,id|item|resp,No column explains any of the 79 excess rows. 41 are exact duplicates (dedupe); the remaining 38 carry conflicting responses for the same id+item and need the source to resolve.
PROMISPME_Forrest_2021_Strength_Children,PROMISPME_Forrest_2021_Strength_Children,dedupe,,45625,25,25,25,0,id|item|resp,All 25 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
PROMISPME_Forrest_2021_Strength_Proxy,PROMISPME_Forrest_2021_Strength_Proxy,mixed_dedupe_then_source,,22975,25,17,25,8,id|item|resp,No column explains any of the 25 excess rows. 17 are exact duplicates (dedupe); the remaining 8 carry conflicting responses for the same id+item and need the source to resolve.
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSI,document_column,figure,2756,169,5,26,93,id|figure|item|resp,"figure explains 143 of the 169 excess rows -- the same rating item is asked about several stimulus figures, so item alone under-identifies the measurement. Fold figure into item or expose it as itemcov_figure. Residual 26 rows (5 exact duplicates, 21 conflicts)."
PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,PSR-P_Scale_Intimacy_Hakim_2018_Study2_PSR,document_column,figure,1272,78,5,12,41,id|figure|item|resp,"figure explains 66 of the 78 excess rows -- the same rating item is asked about several stimulus figures, so item alone under-identifies the measurement. Fold figure into item or expose it as itemcov_figure. Residual 12 rows (5 exact duplicates, 7 conflicts)."
psychtools_sai,psychtools_sai,document_column,occasion,107560,47020,77,120,17587,resp|item|occasion|id,"occasion explains 46,900 of the 47,020 excess rows; the repeat is the design. Residual 120 rows, of which 77 are exact duplicates. No data change beyond the residual -- the gate list already consults occasion as of #1835."
ptam1_immer,ptam1_immer,document_column,rater,18790,5036,0,0,2767,resp|rater|item|id,"rater fully explains all 5,036 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
PTCI_Chinese_Zhan_2024,PTCI_Chinese_Zhan_2024,mixed_dedupe_then_source,,80388,38577,17394,38577,16670,id|item|resp,"No column explains any of the 38,577 excess rows. 17,394 are exact duplicates (dedupe); the remaining 21,183 carry conflicting responses for the same id+item and need the source to resolve."
ravens_deboeck2012,ravens_deboeck2012,restore_wave,node (dropped),11622,5811,2834,5811,2977,resp|item|id,"data/IRTrees.R line 17 does fsdatT %>% select(-node, -sub). fsdatT is De Boeck & Partchev (2012) IRTrees data, where each item response is decomposed into tree nodes, so every id+item legitimately appears once per node. Row count is exactly 2x the pair count (11,622 = 2 x 5,811). Not duplicates: restore node."
RD_EppSCQRK_Kipkemoi_2024_scq,RD_EppSCQRK_Kipkemoi_2024_scq,dedupe,,10720,1000,1000,1000,0,id|item|resp,"All 1,000 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates."
realpic_souza2021,realpic_souza2021,conflicting_needs_source,,4172,28,0,28,28,id|item|resp,All 28 excess rows carry conflicting responses for the same id+item and no column explains them. Needs the source data.
rr98_accuracy,rr98_accuracy,restore_trial_index,rt (not an identifier),12205,11229,501,559,653,rt|item|resp|id,"A trial-level experiment with no trial index: rt separates 10,670 of the 11,229 excess rows. rt is a measurement, not an occasion identifier. Restore trialnum/order from the source; 501 of the 559 residual rows are exact duplicates."
SAS_Deters_2022,SAS_Deters_2022,mixed_dedupe_then_source,,134824,105830,87571,105830,18111,id|item|resp,"No column explains any of the 105,830 excess rows. 87,571 are exact duplicates (dedupe); the remaining 18,259 carry conflicting responses for the same id+item and need the source to resolve."
selfcompassionscale_shortform_fuochi_2025,selfcompassionscale_shortform_fuochi_2025,id_collision,cov_sample,24816,3024,51,300,1351,id|item|resp|cov_sample,"cov_sample separates 2,724 of the 3,024 excess rows: the samples were numbered independently and reuse ids, so the same id denotes different people. Namespace id by cov_sample. A residual 300 rows survive that (51 exact duplicates, 249 conflicts) and still need the source."
smacof_pvq40,smacof_pvq40,dedupe,,6029,5,5,5,0,resp|item|id,All 5 excess rows are byte-identical duplicates of a row already present (zero conflicting responses). Safe to drop duplicates.
socialstereotype_hughes_2025_judgement,socialstereotype_hughes_2025_judgement,document_column,rater,14604,10860,0,0,3121,id|rater|cov_group|cov_age|cov_sex|cov_sex_open|cov_ethnicity|cov_income|cov_edu|cov_occupation|item|resp,"rater fully explains all 10,860 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
socialstereotype_hughes_2025_personality_other,socialstereotype_hughes_2025_personality_other,document_column,rater,34076,25340,0,0,7818,id|rater|cov_group|cov_age|cov_sex|cov_sex_open|cov_ethnicity|cov_income|cov_edu|cov_occupation|item|resp,"rater fully explains all 25,340 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
spelling2pronounce_edwards2023,spelling2pronounce_edwards2023,document_column,rater,629815,606533,0,0,23282,id|item|resp|rater,"rater fully explains all 606,533 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
sris_silvia2022,sris_silvia2022,id_collision,study,23840,19420,0,0,3015,id|study|item|resp,"study separates every one of the 19,420 excess rows, but it names the sample/arm the person is in, not a measurement occasion -- so the same id denotes different people in different samples. 221 distinct ids across 15 study values, 158 of them appearing under more than one. Groups: ActionPriming:nid=69,nitem=20 | AmbPhysio:nid=49,nitem=20 | AreaS1:nid=52,nitem=20 | AreaS1b:nid=50,nitem=20 | AreaS2:nid=159,nitem=20 | AreaS3:nid=43,nitem=20 | AreaS3b:nid=37,nit. Fix by namespacing id (e.g. paste(study, id)), not by deduping."
stress_deboeck2012,stress_deboeck2012,restore_wave,occasion (present) + node (dropped),6897,4862,618,792,774,resp|id|occasion|item,"Same script as ravens_deboeck2012. occasion is kept and resolves 4,862 of the excess down to 792; the residual is the same dropped IRTrees node decomposition. 618 of the residual are exact duplicates."
swmd_mokken,swmd_mokken,document_column,rater,4557,4347,0,0,210,resp|item|rater|id,"rater fully explains all 4,347 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
tears,tears,document_column,rater,24019,23227,0,0,787,id|rater|stimulus|phase|item|resp,"rater fully explains all 23,227 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
Veterans.Affairs.SSVF.Survey.2016-17,Veterans_Affairs_SSVF_Survey_2016-17,mixed_dedupe_then_source,,340723,91043,51490,91043,39553,id|item|resp,"No column explains any of the 91,043 excess rows. 51,490 are exact duplicates (dedupe); the remaining 39,553 carry conflicting responses for the same id+item and need the source to resolve."
wine_luckett2021,wine_luckett2021,document_column,rater,1998,1947,0,0,51,rater|id|item|resp,"rater fully explains all 1,947 excess rows; grouping by id+item+rater leaves none. The repeat is the design. No data change -- the gate list already consults this column as of #1835."
